J2	1	GND	GND
J2	2	GND	GND
J2	3	SP1-IA-2	SP1-IA-2
J2	4	SP2-IA-2	SP2-IA-2
J2	5	SP3-IA-2	SP3-IA-2
J2	6	SP1-FS-2	SP1-FS-2
J2	7	SP2-FS-2	SP2-FS-2
J2	8	SP3-FS-2	SP3-FS-2
J2	9	P1-FS-2	P1-FS-2
J2	10	P2-FS-2	P2-FS-2
J2	11	P3-FS-2	P3-FS-2
J2	12	P3-OR-2	P3-OR-2
J2	13	P2-OR-2	P2-OR-2
J2	14	P1-OR-2	P1-OR-2
J2	15	RG-2	RG-2
J2	16	P1-IA-2	P1-IA-2
J2	17	P2-IA-2	P2-IA-2
J2	18	P3-IA-2	P3-IA-2
J2	19	P1-U-2	P1-U-2
J2	20	P2-U-2	P2-U-2
J2	21	P3-U-2	P3-U-2
J2	22	ID-2	ID-2
J2	23	HK80	HK80
J2	24	HK88	HK88
J2	25	HK96	HK96
J2	26	HK104	HK104
J2	27	HK112	HK112
J2	28	HK120	HK120
J2	29	HKA0	HKA0
J2	30	HKA1	HKA1
J2	31	HKA2	HKA2
J2	32	HKCOM	HKCOM
J2	33	\_DS0\_	DS0~
J2	34	\_DS8\_	DS8~
J2	35	\_DS16\_	DS16~
J2	36	\_DS24\_	DS24~
J2	37	\_DS32\_	DS32~
J2	38	\_DS40\_	DS40~
J2	39	IBTEMP	IBTEMP
J2	40	+15	+15
J2	41	-12	-12
J2	42	+5	+5
J2	43	\_DS48\_	DS48~
J2	44	\_DS56\_	DS56~
J2	45	\_DS64\_	DS64~
J2	46	\_DS72\_	DS72~
J2	47	\_DS80\_	DS80~
J2	48	\_DS88\_	DS88~
J2	49	GND	GND
J2	50	GND	GND
