0	Parallel High Offset	16.5	-16.5	0	9.9			V	Parallel Low
1	Parallel Low	16.5	-16.5	0	-13.2			V	
2	Serial High	16.5	-16.5	15.0	-10.3			V	
3	Serial Low Offset	16.5	-16.5	0	-9.9			V	Serial High
4	Reset High	16.5	-16.5	15.0	-10.3			V	
5	Reset Low Offset	16.5	-16.5	0	-9.9			V	Reset High
6	Input Diode High	16.5	-16.5	0	15.0			V	
7	Input Diode Low	16.5	-16.5	0	15.0			V	
