Output Gate	-1.0
Input Gate 1	-3.0
Input Gate 2	-3.0
Scupper	+12.0
Reset Drain	12.0
Backside	0.0
Substrate	-40.0
Output Drain A	8.0
Output Drain B	8.0
Output Drain C	8.0
Output Drain D	8.0
Parallel High	0.0
Parallel Low	-8.0
Serial High	4.0
Serial Low	-6.0
Reset High	3.0
Reset Low	-3.0
Input Diode High	+12.0
Input Diode Low		+12.0
Heater 1 Current	0.0
Heater 2 Current	0.0
Heater 3 Current	0.0
